"xi","ni","Ni","fi","Fi"
"5",170,170,0.035,0.04
"6",7,177,0.001,0.04
"7",27,204,0.006,0.04
"8",185,389,0.039,0.08
"9",181,570,0.038,0.12
"10",49,619,0.01,0.13
"11",176,795,0.037,0.17
"12",3,798,0.001,0.17
"13",11,809,0.002,0.17
"14",73,882,0.015,0.18
"15",29,911,0.006,0.19
"16",132,1043,0.027,0.22
"17",83,1126,0.017,0.23
"18",6,1132,0.001,0.24
"19",112,1244,0.023,0.26
"20",173,1417,0.036,0.29
"21",35,1452,0.007,0.3
"22",88,1540,0.018,0.32
"23",102,1642,0.021,0.34
"24",12,1654,0.002,0.34
"25",116,1770,0.024,0.37
"26",6,1776,0.001,0.37
"27",151,1927,0.031,0.4
"28",78,2005,0.016,0.41
"29",103,2108,0.021,0.44
"30",70,2178,0.015,0.45
"31",49,2227,0.01,0.46
"32",102,2329,0.021,0.48
"33",63,2392,0.013,0.49
"34",68,2460,0.014,0.51
"35",122,2582,0.025,0.53
"36",143,2725,0.03,0.56
"37",149,2874,0.031,0.59
"38",1,2875,0,0.59
"39",19,2894,0.004,0.6
"40",153,3047,0.032,0.63
"41",152,3199,0.032,0.66
"42",142,3341,0.03,0.69
"43",103,3444,0.021,0.71
"44",7,3451,0.001,0.71
"45",195,3646,0.041,0.76
"46",170,3816,0.035,0.79
"47",70,3886,0.015,0.8
"48",188,4074,0.039,0.84
"49",137,4211,0.029,0.87
"50",51,4262,0.011,0.88
"51",151,4413,0.031,0.92
"52",90,4503,0.019,0.93
"53",136,4639,0.028,0.96
"54",164,4803,0.034,1
